isEmpty;O campo deve ser preenchido
stringLengthTooShort;O valor do campo deve ter no minimo %min% caracteres
stringLengthTooLong;O valor do campo deve ter no máximo %max% caracteres
notSame;Os valores fornecidos são diferentes
missingToken;Nenhuma senha foi fornecida
emailAddressInvalid;Endereço de e-mail inválido
hostnameInvalidHostname;Endereço inválido
notDigits;Valor inválido
hostnameUnknownTld;'%value%' é um domínio desconhecido
hostnameLocalNameNotAllowed;'%value%' é um domínio não permitido
emailAddressInvalidHostname;'%value%' não é um email inválido
emailAddressInvalidFormat;'%value%' não é um email inválido
dateInvalid;Data inválida
FailureIdentifyNotFound;putaquepariu
Login not found;Login não existe
Invalid password;Senha inválida
Welcome;Seja bem vindo
Invalid type given, value should be float, string, or integer;O tipo especificado é inválido, o valor deve ser float, string, ou inteiro
'%value%' contains characters which are non alphabetic and no digits;'%value%' contém caracteres que não são alfabéticos e nem dígitos
'%value%' is an empty string;'%value%' é uma string vazia
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' contains non alphabetic characters;'%value%' contém caracteres não alfabéticos
'%value%' is an empty string;'%value%' é uma string vazia
'%value%' failed checksum validation;'%value%' falhou na validação do checksum
'%value%' contains invalid characters;'%value%' contém caracteres inválidos
'%value%' should have a length of %length% characters;'%value%' tem um comprimento de %length% caracteres
Invalid type given, value should be string;O tipo especificado é inválido, o valor deve ser string
'%value%' is not between '%min%' and '%max%', inclusively;'%value%' não está entre '%min%' e '%max%', inclusivamente
'%value%' is not strictly between '%min%' and '%max%';'%value%' não está exatamente entre '%min%' e '%max%'
'%value%' is not valid;'%value%' não é válido
Failure within the callback, exception returned;Falha na chamada de retorno, exceção retornada
'%value%' must contain between 13 and 19 digits;'%value%' deve conter entre 13 e 19 dígitos
Luhn algorithm (mod-10 checksum) failed on '%value%';O algoritmo de Luhn (checksum de módulo 10) falhou em '%value%'
Luhn algorithm (mod-10 checksum) failed on '%value%';O algoritmo de Luhn (checksum de módulo 10) falhou em '%value%'
'%value%' must contain only digits;'%value%' deve conter apenas dígitos
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' contains an invalid amount of digits;'%value%' contém uma quantidade inválida de dígitos
'%value%' is not from an allowed institute;'%value%' não vem de uma instituição autorizada
Validation of '%value%' has been failed by the service;A validação de '%value%' falhou por causa do serviço
The service returned a failure while validating '%value%';O serviço devolveu um erro enquanto validava '%value%'
Invalid type given, value should be string, integer, array or Zend_Date;O tipo especificado é inválido, o valor deve ser string, inteiro, matriz ou Zend_Date
'%value%' does not appear to be a valid date;'%value%' não parece ser uma data válida
'%value%' does not fit the date format '%format%';'%value%' não se encaixa no formato de data '%format%'
No record matching %value% was found;Não foram encontrados registros para %value%
A record matching %value% was found;Um registro foi encontrado para %value%
Invalid type given, value should be string, integer or float;O tipo especificado é inválido, o valor deve ser string, inteiro ou float
'%value%' contains characters which are not digits; but only digits are allowed;'%value%' contém caracteres que não são dígitos, mas apenas dígitos são permitidos
'%value%' is an empty string;'%value%' é uma string vazia
Invalid type given, value should be a string;O tipo especificado é inválido, o valor deve ser uma string
'%value%' is no valid email address in the basic format local-part@hostname;'%value%' não é um endereço de e-mail válido no formato local-part@hostname
'%hostname%' is no valid hostname for email address '%value%';'%hostname%' não é um nome de host válido para o endereço de e-mail '%value%'
'%hostname%' does not appear to have a valid MX record for the email address '%value%';'%hostname%' não parece ter um registro MX válido para o endereço de e-mail '%value%'
'%hostname%' is not in a routable network segment. The email address '%value%' should not be resolved from public network.;'%hostname%' não é um segmento de rede roteável. O endereço de e-mail '%value%' não deve ser resolvido a partir de um rede pública.
'%localPart%' can not be matched against dot-atom format;'%localPart%' não corresponde com o formato dot-atom
